Gen,No.,Pokémon,Biome,Excluded,Time,Weather,Context,Preset,Requirements,Bucket,Weight,Lv. Min,Lv. Max,canSeeSky,Hitbox W,Hitbox H,Hitbox Fixed
1,1,Bulbasaur,Jungle,,any,any,grounded,Natural,light ≥8,ultra-rare,6,5,32,,0.7,0.8,FALSE
1,1,Bulbasaur,Tropical Island,,any,any,grounded,Natural,light ≥8,ultra-rare,6,5,32,,0.7,0.8,FALSE
1,2,Ivysaur,Jungle,,any,any,grounded,Natural,light ≥8,ultra-rare,3.6,16,40,,0.9,1,FALSE
1,2,Ivysaur,Tropical Island,,any,any,grounded,Natural,light ≥8,ultra-rare,3.6,16,40,,0.9,1,FALSE
1,3,Venusaur,Jungle,,any,any,grounded,Natural,light ≥8,ultra-rare,0.4,32,52,,2.2,2,FALSE
1,3,Venusaur,Tropical Island,,any,any,grounded,Natural,light ≥8,ultra-rare,0.4,32,52,,2.2,2,FALSE
1,4,Charmander,Hills,,any,clear,grounded,Natural,light ≥8,ultra-rare,6,5,31,,0.8,1.3,FALSE
1,4,Charmander,Volcanic,,any,clear,grounded,Natural,light ≥8,ultra-rare,6,5,31,,0.8,1.3,FALSE
1,4,Charmander,Nether Basalt,,any,any,grounded,Natural,,ultra-rare,6,5,31,,0.8,1.3,FALSE
1,5,Charmeleon,Hills,,any,clear,grounded,Natural,light ≥8,ultra-rare,3.6,16,40,,0.9,1.6,FALSE
1,5,Charmeleon,Volcanic,,any,clear,grounded,Natural,light ≥8,ultra-rare,3.6,16,40,,0.9,1.6,FALSE
1,5,Charmeleon,Nether Basalt,,any,any,grounded,Natural,,ultra-rare,3.6,16,40,,0.9,1.6,FALSE
1,6,Charizard,Hills,,any,clear,grounded,Natural,light ≥8,ultra-rare,0.4,36,53,,1.5,2.65,FALSE
1,6,Charizard,Volcanic,,any,clear,grounded,Natural,light ≥8,ultra-rare,0.4,36,53,,1.5,2.65,FALSE
1,6,Charizard,Nether Basalt,,any,any,grounded,Natural,,ultra-rare,0.4,36,53,,1.5,2.65,FALSE
1,7,Squirtle,Freshwater,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,6,5,31,,0.7,1.2,FALSE
1,7,Squirtle,Hills,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,6,5,31,,0.7,1.2,FALSE
1,7,Squirtle,Jungle,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,6,5,31,,0.7,1.2,FALSE
1,7,Squirtle,Temperate,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,6,5,31,,0.7,1.2,FALSE
1,7,Squirtle,Tropical Island,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,6,5,31,,0.7,1.2,FALSE
1,7,Squirtle,Freshwater,Freezing,any,any,submerged,Water,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Hills,Freezing,any,any,submerged,Water,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Jungle,Freezing,any,any,submerged,Water,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Temperate,Freezing,any,any,submerged,Water,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Tropical Island,Freezing,any,any,submerged,Water,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Freshwater,Freezing,any,any,fishing,,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Hills,Freezing,any,any,fishing,,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Jungle,Freezing,any,any,fishing,,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Temperate,Freezing,any,any,fishing,,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Tropical Island,Freezing,any,any,fishing,,,ultra-rare,6,5,31,TRUE,0.7,1.2,FALSE
1,7,Squirtle,Freshwater,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
1,7,Squirtle,Hills,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
